transactionid,date,region,product,business_unit,customer,revenue,cogs,operating_expense,interest,tax,financial_metric,actual,budget,month,year,gross_profit,ebitda,net_profit,net_profit_margin
TXN00197,2024-11-15,North,External SSD 1TB,West Region,Vilab,272873.0,162436,56428,6750,9451,Revenue,12230000,11251600,Nov,2024,110437,54009,37808,0.1386
TXN00070,2025-04-15,North,Wireless Mouse,West Region,Suhub,440356.0,253862,52626,3346,26104,Operating Expenses,3475000,3648750,Apr,2025,186494,133868,104418,0.2371
TXN00488,2025-02-15,South,Business Laptop 15,North Region,Mihub,322197.0,185045,58412,5742,14599,Operating Expenses,3415000,3585750,Feb,2025,137152,78740,58399,0.1813
TXN00304,2024-10-15,West,Webcam HD,North Region,Rasys,431127.0,241517,53635,2976,26599,Net Profit,1685000,1550200,Oct,2024,189610,135975,106400,0.2468
TXN00474,2024-12-15,East,Office Monitor 27,East Region,Camax,359367.0,209876,74549,2473,14493,Gross Profit,5510000,5069200,Dec,2024,149491,74942,57976,0.1613
TXN00298,2025-04-15,North,Office Monitor 24,South Region,Vimax,442364.0,250665,80438,5998,21052,Gross Profit,5700000,5244000,Apr,2025,191699,111261,84211,0.1904
TXN00329,2024-11-15,North,Office Printer,West Region,Wagen,169299.0,95277,55887,4088,2809,Net Profit,1740000,1600800,Nov,2024,74022,18135,11238,0.0664
TXN00094,2025-04-15,South,Wireless Mouse,West Region,Titek,378670.0,208571,69345,4308,19289,Revenue,12480000,11481600,Apr,2025,170099,100754,77157,0.2038
TXN00407,2025-05-15,North,External SSD 1TB,West Region,Anova,209988.0,116458,51125,3686,7743,Net Profit,2060000,1895200,May,2025,93530,42405,30976,0.1475
TXN00267,2024-09-15,South,Webcam HD,East Region,Luhub,314664.0,185702,67412,6371,11035,Operating Expenses,3130000,3286500,Sep,2024,128962,61550,44144,0.1403
TXN00109,2024-07-15,East,Laptop Stand,East Region,Acore,298337.0,168539,57698,2683,13883,Gross Profit,5210000,4793200,Jul,2024,129798,72100,55534,0.1861
TXN00442,2025-04-15,South,Office Monitor 24,East Region,Wapro,400322.0,225563,87792,2669,16859,Gross Profit,5715000,5257800,Apr,2025,174759,86967,67439,0.1685
TXN00351,2024-09-15,North,External SSD 1TB,West Region,Mipro,182023.0,107024,62948,5459,1318,Gross Profit,5340000,4912800,Sep,2024,74999,12051,5274,0.029
TXN00299,2025-05-15,South,4K Monitor 32,South Region,Azon,282418.0,155689,49316,3965,14689,Operating Expenses,3550000,3727500,May,2025,126729,77413,58759,0.2081
TXN00254,2024-08-15,West,Laptop Stand,North Region,Gosys,196939.0,114577,30863,4007,9498,Net Profit,1575000,1449000,Aug,2024,82362,51499,37994,0.1929
TXN00307,2025-01-15,West,Laptop Pro 14,South Region,Fipro,340469.0,201928,61872,3142,14705,Gross Profit,5545000,5101400,Jan,2025,138541,76669,58822,0.1728
TXN00203,2025-05-15,West,Desktop Workstation,North Region,Zazon,223744.0,125928,53655,3528,8126,Operating Expenses,3540000,3717000,May,2025,97816,44161,32507,0.1453
TXN00270,2024-12-15,South,Laptop Stand,South Region,Atron,344731.0,190804,81085,6536,13261,Revenue,12290000,11306800,Dec,2024,153927,72842,53045,0.1539
TXN00166,2025-04-15,North,Business Laptop 15,West Region,Tihub,316563.0,185428,78877,2837,9884,Operating Expenses,3485000,3659250,Apr,2025,131135,52258,39537,0.1249
TXN00328,2024-10-15,West,Laptop Pro 16,South Region,Rapro,286831.0,167625,69905,5946,8671,Gross Profit,5390000,4958800,Oct,2024,119206,49301,34684,0.1209
TXN00191,2025-05-15,North,USB-C Dock,North Region,Zamax,152116.0,91077,31913,3825,5060,Gross Profit,5740000,5280800,May,2025,61039,29126,20241,0.1331
TXN00158,2024-08-15,East,USB-C Dock,South Region,Fisys,271622.0,157867,42493,6065,13039,Net Profit,1565000,1439800,Aug,2024,113755,71262,52158,0.192
TXN00173,2024-11-15,East,Laptop Pro 14,North Region,Vizon,270846.0,155549,63299,6016,9196,Operating Expenses,3225000,3386250,Nov,2024,115297,51998,36786,0.1358
TXN00310,2025-04-15,South,Laptop Pro 14,South Region,Vizon,252955.0,141753,55338,3538,10465,Operating Expenses,3500000,3675000,Apr,2025,111202,55864,41861,0.1655
TXN00430,2025-04-15,North,External SSD 1TB,East Region,Walab,238259.0,136098,34634,2388,13027,Revenue,12515000,11513800,Apr,2025,102161,67527,52112,0.2187
TXN00366,2024-12-15,South,Bluetooth Speaker,North Region,Betek,443348.0,245827,47034,6533,28790,Revenue,12300000,11316000,Dec,2024,197521,150487,115164,0.2598
TXN00063,2024-09-15,West,Ergonomic Mouse,East Region,Jopro,181673.0,102383,34987,2762,8308,Gross Profit,5310000,4885200,Sep,2024,79290,44303,33233,0.1829
TXN00296,2025-02-15,West,Wireless Mouse,West Region,Kahub,167552.0,98952,42699,4902,4199,Operating Expenses,3395000,3564750,Feb,2025,68600,25901,16800,0.1003
TXN00055,2025-01-15,West,Noise Cancelling Headset,West Region,Detek,361038.0,210339,32948,5410,22468,Revenue,12320000,11334400,Jan,2025,150699,117751,89873,0.2489
TXN00275,2025-05-15,West,Ergonomic Mouse,East Region,Atek,245342.0,144128,88334,5589,1458,Revenue,12550000,11546000,May,2025,101214,12880,5833,0.0238
TXN00078,2024-12-15,South,Desktop Workstation,North Region,Zalab,165077.0,98347,89629,4182,-5416,Revenue,12270000,11288400,Dec,2024,66730,-22899,-21665,-0.1312
TXN00399,2024-09-15,North,Bluetooth Speaker,East Region,Nomax,408998.0,234674,76850,4788,18537,Gross Profit,5345000,4917400,Sep,2024,174324,97474,74149,0.1813
TXN00185,2024-11-15,East,Noise Cancelling Headset,North Region,Visys,385624.0,222819,71242,3129,17686,Net Profit,1725000,1587000,Nov,2024,162805,91563,70748,0.1835
TXN00131,2025-05-15,East,Office Printer,North Region,Yolab,298477.0,178934,86202,6024,5463,Revenue,12535000,11532200,May,2025,119543,33341,21854,0.0732
TXN00243,2024-09-15,West,Laser Printer,North Region,Lulab,364106.0,210569,35082,2364,23218,Revenue,12130000,11159600,Sep,2024,153537,118455,92873,0.2551
TXN00309,2025-03-15,North,Office Monitor 27,West Region,Qimax,285588.0,165987,53254,5850,12099,Gross Profit,5650000,5198000,Mar,2025,119601,66347,48398,0.1695
TXN00246,2024-12-15,North,Office Monitor 24,South Region,Alink,420162.0,244000,69247,4729,20437,Operating Expenses,3285000,3449250,Dec,2024,176162,106915,81749,0.1946
TXN00018,2024-12-15,South,Office Printer,West Region,Yogen,351856.0,193625,52848,6304,19815,Net Profit,1760000,1619200,Dec,2024,158231,105383,79264,0.2253
TXN00408,2025-06-15,West,External SSD 1TB,East Region,Fitek,164737.0,91089,67897,3426,465,Revenue,12615000,11605800,Jun,2025,73648,5751,1860,0.0113
TXN00194,2024-08-15,South,4K Monitor 32,West Region,Fihub,314727.0,173930,89659,3575,9512,Operating Expenses,3070000,3223500,Aug,2024,140797,51138,38051,0.1209
TXN00223,2025-01-15,North,Webcam HD,West Region,Elhub,365588.0,212463,35684,4991,22490,Operating Expenses,3335000,3501750,Jan,2025,153125,117441,89960,0.2461
TXN00045,2025-03-15,South,Laser Printer,West Region,Nosys,368787.0,220492,53498,2501,18459,Net Profit,1920000,1766400,Mar,2025,148295,94797,73837,0.2002
TXN00477,2025-03-15,West,Ergonomic Mouse,East Region,Ragen,285730.0,168406,51096,6119,12021,Net Profit,1965000,1807800,Mar,2025,117324,66228,48088,0.1683
TXN00285,2025-03-15,West,Noise Cancelling Headset,East Region,Pagen,335450.0,200751,39572,2066,18612,Net Profit,1945000,1789400,Mar,2025,134699,95127,74449,0.2219
TXN00146,2024-08-15,West,Laser Printer,North Region,Fizon,421378.0,249866,56707,6529,21655,Operating Expenses,3065000,3218250,Aug,2024,171512,114805,86621,0.2056
TXN00330,2024-12-15,West,Wireless Keyboard,East Region,Acart,272586.0,160266,39085,5861,13474,Gross Profit,5495000,5055400,Dec,2024,112320,73235,53900,0.1977
TXN00115,2025-01-15,North,Business Laptop 15,South Region,Depro,248777.0,143094,45232,4311,11228,Gross Profit,5525000,5083000,Jan,2025,105683,60451,44912,0.1805
TXN00419,2025-05-15,West,External SSD 2TB,West Region,Atron,236851.0,133132,83628,2517,3514,Revenue,12565000,11559800,May,2025,103719,20091,14060,0.0594
TXN00473,2024-11-15,West,Laptop Stand,West Region,Yosys,420455.0,249203,74093,6572,18117,Net Profit,1755000,1614600,Nov,2024,171252,97159,72470,0.1724
TXN00456,2025-06-15,North,Laptop Pro 16,North Region,Filab,312208.0,174894,52740,3205,16273,Revenue,12620000,11610400,Jun,2025,137314,84574,65096,0.2085
TXN00219,2024-09-15,South,4K Monitor 32,West Region,Luzon,329463.0,194104,59974,5949,13887,Operating Expenses,3125000,3281250,Sep,2024,135359,75385,55549,0.1686
TXN00295,2025-01-15,North,Office Monitor 27,South Region,Filab,159220.0,93632,62350,3861,-124,Revenue,12345000,11357400,Jan,2025,65588,3238,-499,-0.0031
TXN00059,2025-05-15,South,Laptop Pro 16,West Region,Xehub,299073.0,166979,81115,4371,9321,Operating Expenses,3525000,3701250,May,2025,132094,50979,37287,0.1247
TXN00240,2025-06-15,West,External SSD 2TB,North Region,Dezon,319354.0,177269,54436,4135,16702,Operating Expenses,3595000,3774750,Jun,2025,142085,87649,66812,0.2092
TXN00187,2025-01-15,East,Laptop Pro 16,East Region,Elsys,345937.0,203654,56798,4473,16202,Net Profit,1830000,1683600,Jan,2025,142283,85485,64810,0.1873
TXN00383,2025-05-15,South,Noise Cancelling Headset,South Region,Acore,157681.0,91997,40226,2328,4626,Gross Profit,5760000,5299200,May,2025,65684,25458,18504,0.1174
TXN00132,2025-06-15,West,4K Monitor 32,North Region,Camax,159708.0,92702,46030,6510,2893,Gross Profit,5785000,5322200,Jun,2025,67006,20976,11573,0.0725
TXN00123,2024-09-15,West,Bluetooth Speaker,East Region,Kazon,341607.0,194527,49131,3074,18975,Operating Expenses,3115000,3270750,Sep,2024,147080,97949,75900,0.2222
TXN00306,2024-12-15,East,Laptop Pro 14,South Region,Aline,344977.0,197637,44559,2835,19989,Net Profit,1790000,1646800,Dec,2024,147340,102781,79957,0.2318
TXN00334,2025-04-15,South,Office Monitor 24,East Region,Vilab,253328.0,148829,87998,6152,2069,Revenue,12505000,11504600,Apr,2025,104499,16501,8280,0.0327
TXN00321,2025-03-15,East,External SSD 1TB,East Region,Qizon,384182.0,223222,81740,3265,15191,Operating Expenses,3450000,3622500,Mar,2025,160960,79220,60764,0.1582
TXN00179,2025-05-15,West,4K Monitor 32,South Region,Zatek,298254.0,168232,39912,3984,17225,Revenue,12540000,11536800,May,2025,130022,90110,68901,0.231
TXN00444,2025-06-15,West,External SSD 1TB,South Region,Fisys,181969.0,103378,35553,4091,7789,Net Profit,2115000,1945800,Jun,2025,78591,43038,31158,0.1712
TXN00413,2024-11-15,East,Office Monitor 24,South Region,Xehub,156223.0,89284,59351,5419,433,Operating Expenses,3250000,3412500,Nov,2024,66939,7588,1736,0.0111
TXN00005,2024-11-15,North,Office Monitor 27,West Region,Tilab,169380.0,98230,56155,5959,1807,Revenue,12210000,11233200,Nov,2024,71150,14995,7229,0.0427
TXN00340,2024-10-15,North,Office Monitor 27,East Region,Rahub,303442.0,176861,35458,2216,17781,Operating Expenses,3190000,3349500,Oct,2024,126581,91123,71126,0.2344
TXN00367,2025-01-15,West,Laptop Stand,North Region,Gozon,384247.0,212558,78583,3165,17988,Operating Expenses,3350000,3517500,Jan,2025,171689,93106,71953,0.1873
TXN00114,2024-12-15,South,Mechanical Keyboard,West Region,Zagen,325344.0,183813,30808,2811,21582,Net Profit,1770000,1628400,Dec,2024,141531,110723,86330,0.2653
TXN00096,2025-06-15,West,Webcam HD,West Region,Behub,400084.0,228156,81778,4828,17064,Operating Expenses,3580000,3759000,Jun,2025,171928,90150,68258,0.1706
TXN00153,2025-03-15,North,External SSD 2TB,North Region,Orlab,231984.0,132795,73372,5332,4097,Revenue,12435000,11440200,Mar,2025,99189,25817,16388,0.0706
TXN00156,2025-06-15,East,Webcam HD,West Region,Casys,432094.0,240888,76049,4598,22111,Net Profit,2085000,1918200,Jun,2025,191206,115157,88448,0.2047
TXN00106,2025-04-15,West,Business Laptop 15,South Region,Timax,150053.0,89989,85173,4217,-5865,Gross Profit,5680000,5225600,Apr,2025,60064,-25109,-23461,-0.1564
TXN00222,2024-12-15,West,Laptop Stand,West Region,Agen,347330.0,202662,57003,2634,17006,Revenue,12285000,11302200,Dec,2024,144668,87665,68025,0.1959
TXN00486,2024-12-15,East,Wireless Mouse,East Region,Cazon,421110.0,249727,87351,3018,16202,Operating Expenses,3310000,3475500,Dec,2024,171383,84032,64812,0.1539
TXN00016,2024-10-15,East,Office Monitor 27,South Region,Orsys,238261.0,141085,72307,6416,3690,Net Profit,1655000,1522600,Oct,2024,97176,24869,14763,0.062
TXN00354,2024-12-15,West,USB-C Dock,South Region,Aflow,281521.0,167315,34266,2373,15513,Net Profit,1795000,1651400,Dec,2024,114206,79940,62054,0.2204
TXN00019,2025-01-15,South,Office Monitor 27,West Region,Capro,419906.0,243169,44950,2093,25938,Gross Profit,5515000,5073800,Jan,2025,176737,131787,103756,0.2471
TXN00376,2024-10-15,South,Mechanical Keyboard,East Region,Sumax,228750.0,130342,85132,5440,1567,Gross Profit,5395000,4963400,Oct,2024,98408,13276,6269,0.0274
TXN00228,2025-06-15,West,Noise Cancelling Headset,South Region,Demax,413585.0,243112,78589,4937,17389,Gross Profit,5795000,5331400,Jun,2025,170473,91884,69558,0.1682
TXN00021,2025-03-15,East,Bluetooth Speaker,North Region,Nomax,171493.0,99265,46157,2252,4763,Gross Profit,5620000,5170400,Mar,2025,72228,26071,19056,0.1111
TXN00262,2025-04-15,South,Webcam HD,North Region,Ulhub,245137.0,143731,31243,2760,13480,Operating Expenses,3495000,3669750,Apr,2025,101406,70163,53923,0.22
TXN00313,2024-07-15,North,Wireless Mouse,South Region,Behub,303886.0,177681,31976,6915,17462,Operating Expenses,3030000,3181500,Jul,2024,126205,94229,69852,0.2299
TXN00300,2025-06-15,North,Noise Cancelling Headset,North Region,Degen,159278.0,88777,31438,4827,6847,Net Profit,2100000,1932000,Jun,2025,70501,39063,27389,0.172
TXN00447,2024-09-15,North,Office Monitor 27,South Region,Nopro,392380.0,223610,80095,2408,17253,Gross Profit,5350000,4922000,Sep,2024,168770,88675,69014,0.1759
TXN00425,2024-11-15,South,Ergonomic Mouse,West Region,Xegen,269079.0,153681,64442,3554,9480,Net Profit,1750000,1610000,Nov,2024,115398,50956,37922,0.1409
TXN00213,2025-03-15,East,External SSD 1TB,West Region,Pamax,249980.0,142023,78220,6720,4603,Gross Profit,5640000,5188800,Mar,2025,107957,29737,18414,0.0737
TXN00276,2025-06-15,South,Bluetooth Speaker,East Region,Depro,318059.0,177041,51860,4421,16947,Gross Profit,5800000,5336000,Jun,2025,141018,89158,67790,0.2131
TXN00333,2025-03-15,South,Noise Cancelling Headset,West Region,Qisys,305144.0,181490,56954,2988,12742,Net Profit,1950000,1794000,Mar,2025,123654,66700,50970,0.167
TXN00141,2025-03-15,North,Desktop Workstation,West Region,Orsys,201965.0,117629,87843,2997,-1300,Net Profit,1930000,1775600,Mar,2025,84336,-3507,-5204,-0.0258
TXN00051,2024-09-15,West,External SSD 1TB,North Region,Jolab,186252.0,105696,68015,5026,1503,Revenue,12110000,11141200,Sep,2024,80556,12541,6012,0.0323
TXN00226,2025-04-15,East,External SSD 1TB,West Region,Ulsys,329521.0,193793,30982,2888,20371,Net Profit,1990000,1830800,Apr,2025,135728,104746,81487,0.2473
TXN00144,2025-06-15,East,Mechanical Keyboard,South Region,Cazon,307771.0,181912,30525,4537,18159,Operating Expenses,3585000,3764250,Jun,2025,125859,95334,72638,0.236
TXN00079,2025-01-15,North,Desktop Workstation,West Region,Dezon,423949.0,233673,82234,2990,21010,Operating Expenses,3320000,3486000,Jan,2025,190276,108042,84042,0.1982
TXN00236,2025-02-15,North,4K Monitor 32,North Region,Kamax,371656.0,206959,76385,4129,16836,Gross Profit,5590000,5142800,Feb,2025,164697,88312,67347,0.1812
TXN00476,2025-02-15,East,Wireless Keyboard,South Region,Mipro,423591.0,239512,48197,5430,26090,Gross Profit,5615000,5165800,Feb,2025,184079,135882,104362,0.2464
TXN00221,2024-11-15,North,Laptop Pro 14,North Region,Vihub,218878.0,129825,45724,6534,7359,Operating Expenses,3230000,3391500,Nov,2024,89053,43329,29436,0.1345
TXN00422,2024-08-15,South,Business Laptop 15,South Region,Ivmax,280137.0,163775,47075,4457,12966,Gross Profit,5295000,4871400,Aug,2024,116362,69287,51864,0.1851
TXN00491,2025-05-15,South,Noise Cancelling Headset,South Region,Anest,340739.0,188259,57011,6412,17811,Operating Expenses,3570000,3748500,May,2025,152480,95469,71246,0.2091
TXN00434,2024-08-15,West,Ergonomic Mouse,East Region,Ivzon,172724.0,101135,66181,2571,567,Operating Expenses,3095000,3249750,Aug,2024,71589,5408,2270,0.0131
TXN00046,2025-04-15,South,Webcam HD,East Region,Sulab,192414.0,109690,83800,6519,-1519,Revenue,12475000,11477000,Apr,2025,82724,-1076,-6076,-0.0316
TXN00335,2025-05-15,West,External SSD 2TB,South Region,Alab,383934.0,215431,58965,2901,21327,Gross Profit,5755000,5294600,May,2025,168503,109538,85310,0.2222
TXN00177,2025-03-15,South,Office Monitor 27,North Region,Orhub,420728.0,250735,41925,4015,24810,Operating Expenses,3435000,3606750,Mar,2025,169993,128068,99243,0.2359
TXN00369,2025-03-15,North,Laptop Pro 14,North Region,Qihub,364593.0,203920,69106,3710,17571,Operating Expenses,3455000,3627750,Mar,2025,160673,91567,70286,0.1928
TXN00339,2024-09-15,East,USB-C Dock,West Region,Milab,289931.0,168065,68152,3113,10120,Revenue,12140000,11168800,Sep,2024,121866,53714,40481,0.1396
TXN00124,2024-10-15,East,Office Monitor 27,North Region,Palab,308780.0,181697,58383,6201,12499,Revenue,12170000,11196400,Oct,2024,127083,68700,50000,0.1619
TXN00117,2025-03-15,North,USB-C Dock,North Region,Ormax,315606.0,187264,70764,5985,10318,Gross Profit,5630000,5179600,Mar,2025,128342,57578,41275,0.1308
TXN00202,2025-04-15,East,External SSD 2TB,North Region,Ulmax,239444.0,139055,65057,2584,6549,Gross Profit,5690000,5234800,Apr,2025,100389,35332,26199,0.1094
TXN00230,2024-08-15,South,Office Printer,North Region,Gomax,150682.0,84642,32101,3225,6142,Gross Profit,5275000,4853000,Aug,2024,66040,33939,24572,0.1631
TXN00234,2024-12-15,South,External SSD 2TB,South Region,Acore,400188.0,227080,51292,6571,23049,Gross Profit,5485000,5046200,Dec,2024,173108,121816,92196,0.2304
TXN00352,2024-10-15,North,4K Monitor 32,South Region,Ragen,273737.0,161756,69820,6337,7164,Net Profit,1690000,1554800,Oct,2024,111981,42161,28660,0.1047
TXN00192,2025-06-15,East,Desktop Workstation,South Region,Cahub,432170.0,239643,79845,4902,21556,Operating Expenses,3590000,3769500,Jun,2025,192527,112682,86224,0.1995
TXN00323,2025-05-15,East,Laser Printer,North Region,Asys,183553.0,102818,87910,4408,-2316,Revenue,12555000,11550600,May,2025,80735,-7175,-9267,-0.0505
TXN00401,2024-11-15,West,Mechanical Keyboard,North Region,Xepro,229498.0,134482,40820,2618,10315,Gross Profit,5450000,5014000,Nov,2024,95016,54196,41263,0.1798
TXN00433,2024-07-15,South,External SSD 2TB,West Region,Detek,326898.0,188075,57499,5556,15153,Revenue,12045000,11081400,Jul,2024,138823,81324,60615,0.1854
TXN00054,2024-12-15,South,Office Printer,North Region,Zazon,352420.0,196068,63295,3005,18010,Operating Expenses,3265000,3428250,Dec,2024,156352,93057,72042,0.2044
TXN00287,2025-05-15,South,4K Monitor 32,North Region,Amax,265666.0,158793,81864,4436,4114,Gross Profit,5750000,5290000,May,2025,106873,25009,16459,0.062
TXN00358,2025-04-15,South,Office Printer,North Region,Vihub,401664.0,234686,32674,4707,25919,Operating Expenses,3505000,3680250,Apr,2025,166978,134304,103678,0.2581
TXN00345,2025-03-15,West,Wireless Mouse,West Region,Qilab,303821.0,174852,36833,4777,17471,Revenue,12455000,11458600,Mar,2025,128969,92136,69888,0.23
TXN00245,2024-11-15,East,Office Printer,West Region,Watek,155011.0,89407,86841,3023,-4852,Revenue,12235000,11256200,Nov,2024,65604,-21237,-19408,-0.1252
TXN00252,2025-06-15,North,Mechanical Keyboard,East Region,Desys,332363.0,195296,41523,6847,17739,Net Profit,2095000,1927400,Jun,2025,137067,95544,70958,0.2135
TXN00280,2024-10-15,West,External SSD 2TB,South Region,Ramax,325888.0,193294,83562,2712,9264,Gross Profit,5385000,4954200,Oct,2024,132594,49032,37056,0.1137
TXN00139,2025-01-15,West,Office Monitor 24,North Region,Degen,306989.0,169154,77800,2055,11596,Net Profit,1825000,1679000,Jan,2025,137835,60035,46384,0.1511
TXN00288,2025-06-15,South,Desktop Workstation,East Region,Dehub,345408.0,205842,59287,6830,14689,Operating Expenses,3600000,3780000,Jun,2025,139566,80279,58760,0.1701
TXN00414,2024-12-15,East,Mechanical Keyboard,West Region,Belab,178705.0,102584,66595,4585,988,Revenue,12305000,11320600,Dec,2024,76121,9526,3953,0.0221
TXN00423,2024-09-15,North,Desktop Workstation,West Region,Nosys,344415.0,194499,74083,4838,14199,Net Profit,1645000,1513400,Sep,2024,149916,75833,56796,0.1649
TXN00182,2024-08-15,South,Webcam HD,West Region,Fipro,163931.0,94610,47369,3080,3774,Gross Profit,5270000,4848400,Aug,2024,69321,21952,15098,0.0921
TXN00464,2025-02-15,North,Office Monitor 27,West Region,Milab,162090.0,95089,49810,2428,2952,Revenue,12415000,11421800,Feb,2025,67001,17191,11811,0.0729
TXN00118,2025-04-15,West,Desktop Workstation,West Region,Tizon,320118.0,190264,58316,3155,13676,Operating Expenses,3480000,3654000,Apr,2025,129854,71538,54707,0.1709
TXN00068,2025-02-15,South,Laptop Pro 16,West Region,Ivsys,325464.0,182914,61798,5468,15056,Net Profit,1870000,1720400,Feb,2025,142550,80752,60228,0.1851
TXN00077,2024-11-15,West,USB-C Dock,West Region,Ulzon,349813.0,206719,73845,3161,13217,Operating Expenses,3215000,3375750,Nov,2024,143094,69249,52871,0.1511
TXN00002,2024-08-15,South,Office Monitor 27,West Region,Dehub,435762.0,253297,79064,3422,19995,Operating Expenses,3050000,3202500,Aug,2024,182465,103401,79984,0.1835
TXN00116,2025-02-15,West,Desktop Workstation,East Region,Ivgen,346903.0,190936,77834,2427,15141,Net Profit,1875000,1725000,Feb,2025,155967,78133,60565,0.1746
TXN00224,2025-02-15,South,External SSD 1TB,West Region,Katek,410557.0,244767,38090,5835,24373,Revenue,12390000,11398800,Feb,2025,165790,127700,97492,0.2375
TXN00167,2025-05-15,South,Ergonomic Mouse,West Region,Yogen,432082.0,244779,35763,6523,29003,Net Profit,2035000,1872200,May,2025,187303,151540,116014,0.2685
TXN00110,2024-08-15,East,Mechanical Keyboard,South Region,Elgen,301410.0,180174,89020,5346,5374,Net Profit,1560000,1435200,Aug,2024,121236,32216,21496,0.0713
TXN00360,2025-06-15,West,Office Printer,North Region,Ellab,231695.0,133038,89459,3786,1082,Revenue,12610000,11601200,Jun,2025,98657,9198,4330,0.0187
TXN00392,2025-02-15,North,Business Laptop 15,North Region,Luhub,383281.0,212129,44542,3542,24613,Operating Expenses,3405000,3575250,Feb,2025,171152,126610,98455,0.2569
TXN00172,2024-10-15,South,Wireless Mouse,West Region,Qitek,308693.0,178291,51923,5936,14508,Revenue,12175000,11201000,Oct,2024,130402,78479,58035,0.188
TXN00111,2024-09-15,East,Ergonomic Mouse,East Region,Kamax,201624.0,116657,62649,3371,3789,Gross Profit,5315000,4889800,Sep,2024,84967,22318,15158,0.0752
TXN00418,2025-04-15,North,Office Monitor 27,North Region,Wasys,323571.0,188644,74067,2293,11713,Net Profit,2010000,1849200,Apr,2025,134927,60860,46854,0.1448
TXN00465,2025-03-15,West,Mechanical Keyboard,North Region,Rahub,364512.0,216045,62899,4775,16158,Operating Expenses,3465000,3638250,Mar,2025,148467,85568,64635,0.1773
TXN00484,2024-10-15,North,Mechanical Keyboard,South Region,Tizon,158096.0,88725,45469,4935,3793,Operating Expenses,3205000,3365250,Oct,2024,69371,23902,15174,0.096
TXN00026,2024-08-15,West,Business Laptop 15,South Region,Eltek,307259.0,175696,68377,5727,11491,Revenue,12055000,11090600,Aug,2024,131563,63186,45968,0.1496
TXN00312,2025-06-15,North,Laptop Pro 14,South Region,Eltek,154109.0,88434,83911,2681,-4183,Revenue,12605000,11596600,Jun,2025,65675,-18236,-16734,-0.1086
TXN00161,2024-11-15,West,Webcam HD,West Region,Vimax,256998.0,149677,45455,6646,11044,Gross Profit,5425000,4991000,Nov,2024,107321,61866,44176,0.1719
TXN00004,2024-10-15,North,Mechanical Keyboard,East Region,Orzon,447380.0,266750,65756,5639,21847,Operating Expenses,3155000,3312750,Oct,2024,180630,114874,87388,0.1953
TXN00332,2025-02-15,West,Webcam HD,North Region,Lumax,398064.0,235123,35035,4142,24752,Gross Profit,5600000,5152000,Feb,2025,162941,127906,99012,0.2487
TXN00483,2024-09-15,West,Laptop Pro 14,West Region,Ortek,405126.0,228719,58806,4398,22640,Revenue,12155000,11182600,Sep,2024,176407,117601,90563,0.2235
TXN00034,2025-04-15,South,Laptop Pro 16,North Region,Susys,342411.0,195741,42246,4426,19999,Net Profit,1970000,1812400,Apr,2025,146670,104424,79999,0.2336
TXN00290,2024-08-15,North,Desktop Workstation,South Region,Gohub,413165.0,232811,66051,3642,22132,Operating Expenses,3080000,3234000,Aug,2024,180354,114303,88529,0.2143
TXN00455,2025-05-15,West,Wireless Keyboard,West Region,Aline,314786.0,182218,30623,4800,19429,Net Profit,2065000,1899800,May,2025,132568,101945,77716,0.2469
TXN00441,2025-03-15,West,Laptop Pro 14,West Region,Ralab,400794.0,239232,31880,2354,25465,Revenue,12465000,11467800,Mar,2025,161562,129682,101863,0.2542
TXN00081,2025-03-15,West,Wireless Mouse,South Region,Nohub,169763.0,97439,66733,2834,551,Operating Expenses,3425000,3596250,Mar,2025,72324,5591,2206,0.013
TXN00353,2024-11-15,East,Desktop Workstation,North Region,Xemax,383787.0,222929,48694,6852,21062,Gross Profit,5445000,5009400,Nov,2024,160858,112164,84250,0.2195
TXN00099,2024-09-15,West,Desktop Workstation,North Region,Katek,331342.0,197896,33909,2204,19466,Revenue,12115000,11145800,Sep,2024,133446,99537,77867,0.235
TXN00104,2025-02-15,East,External SSD 2TB,North Region,Ivhub,190089.0,104677,42296,4249,7773,Operating Expenses,3375000,3543750,Feb,2025,85412,43116,31094,0.1636
TXN00363,2024-09-15,North,Office Printer,North Region,Mihub,367422.0,217142,59462,5353,17093,Operating Expenses,3140000,3297000,Sep,2024,150280,90818,68372,0.1861
TXN00379,2025-01-15,South,USB-C Dock,North Region,Gosys,390052.0,222629,60167,5212,20408,Net Profit,1850000,1702000,Jan,2025,167423,107256,81636,0.2093
TXN00361,2024-07-15,East,Ergonomic Mouse,East Region,Cazon,402102.0,231408,85852,5034,15961,Operating Expenses,3035000,3186750,Jul,2024,170694,84842,63847,0.1588
TXN00170,2024-08-15,North,Noise Cancelling Headset,South Region,Filab,366541.0,210727,55654,3049,19422,Revenue,12070000,11104400,Aug,2024,155814,100160,77689,0.212
TXN00493,2024-07-15,West,Laser Printer,South Region,Depro,445672.0,261775,55343,6887,24333,Gross Profit,5250000,4830000,Jul,2024,183897,128554,97334,0.2184
TXN00069,2025-03-15,South,Laser Printer,South Region,Nopro,381301.0,212880,72091,4714,18323,Gross Profit,5625000,5175000,Mar,2025,168421,96330,73293,0.1922
TXN00412,2024-10-15,North,Laptop Pro 16,West Region,Sulab,204601.0,113161,74966,2876,2719,Revenue,12200000,11224000,Oct,2024,91440,16474,10879,0.0532
